id,activation_time,deactivation_time,formatted_duration,duration_seconds,symbols,lot_size,trigger_source,deactivation_reason,status
43,2026-09-17T14:55:01.973204+00:00,2026-09-17T14:55:01.998562+00:00,0s,0.0,"XAUUSD, BTCUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
42,2026-09-17T14:54:31.117869+00:00,2026-09-17T14:54:32.639609+00:00,2s,1.5,"XAUUSD, EURUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
41,2026-09-17T13:09:32.123702+00:00,2026-09-17T14:54:09.845132+00:00,1h 44m 38s,6277.7,"XAUUSD, EURUSD",P1:0.02 | P2:0.02,Web Dashboard,Interrupted / Server Restarted,INTERRUPTED
40,2026-09-17T13:04:27.122044+00:00,2026-09-17T13:04:27.628939+00:00,1s,0.5,"XAUUSD, BTCUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
39,2026-09-17T13:04:23.963932+00:00,2026-09-17T13:04:25.699998+00:00,2s,1.7,"XAUUSD, EURUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
38,2026-09-17T12:56:35.694498+00:00,2026-09-17T12:56:35.724435+00:00,0s,0.0,"XAUUSD, BTCUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
37,2026-09-17T12:56:32.796003+00:00,2026-09-17T12:56:34.317858+00:00,2s,1.5,"XAUUSD, EURUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
36,2026-09-17T12:41:07.749373+00:00,2026-09-17T12:56:30.257796+00:00,15m 23s,922.5,"XAUUSD, EURUSD",P1:0.02 | P2:0.02,Web Dashboard,Interrupted / Server Restarted,INTERRUPTED
35,2026-09-17T09:35:13.564025+00:00,2026-09-17T12:39:24.145117+00:00,3h 04m 11s,11050.6,"XAUUSD, EURUSD",P1:0.02 | P2:0.02,Web Dashboard,Interrupted / Server Restarted,INTERRUPTED
34,2026-09-17T09:35:01.529550+00:00,2026-09-17T09:35:02.580497+00:00,1s,1.1,"XAUUSD, EURUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
33,2026-09-17T09:32:50.412103+00:00,2026-09-17T09:32:50.436310+00:00,0s,0.0,"XAUUSD, BTCUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
32,2026-09-17T09:32:47.514946+00:00,2026-09-17T09:32:49.035383+00:00,2s,1.5,"XAUUSD, EURUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
31,2026-09-17T08:49:19.790742+00:00,2026-09-17T09:32:44.905354+00:00,43m 25s,2605.1,"XAUUSD, EURUSD",P1:0.02 | P2:0.04,Web Dashboard,Interrupted / Server Restarted,INTERRUPTED
30,2026-09-17T08:46:41.309206+00:00,2026-09-17T08:49:15.824962+00:00,2m 35s,154.5,"XAUUSD, EURUSD",P1:0.02 | P2:0.04,Web Dashboard,Interrupted / Server Restarted,INTERRUPTED
29,2026-09-17T08:42:59.263958+00:00,2026-09-17T08:46:17.789357+00:00,3m 19s,198.5,"XAUUSD, EURUSD",P1:0.02 | P2:0.04,Web Dashboard,Interrupted / Server Restarted,INTERRUPTED
28,2026-09-17T07:59:17.823828+00:00,2026-09-17T08:42:48.546283+00:00,43m 31s,2610.7,"XAUUSD, EURUSD",P1:0.02 | P2:0.04,Web Dashboard,Interrupted / Server Restarted,INTERRUPTED
27,2026-09-17T07:27:26.573018+00:00,2026-09-17T07:59:03.193199+00:00,31m 37s,1896.6,"XAUUSD, BTCUSD",P1:0.02 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
26,2026-09-17T06:34:54.283024+00:00,2026-09-17T06:34:54.750769+00:00,0s,0.5,"XAUUSD, BTCUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
25,2026-09-17T06:34:48.821562+00:00,2026-09-17T06:34:50.582684+00:00,2s,1.8,"XAUUSD, BTCUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
24,2026-09-17T06:34:07.836363+00:00,2026-09-17T06:34:08.303613+00:00,0s,0.5,"XAUUSD, BTCUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
23,2026-09-17T06:34:02.300095+00:00,2026-09-17T06:34:04.079709+00:00,2s,1.8,"XAUUSD, BTCUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
22,2026-09-17T06:33:24.356861+00:00,2026-09-17T06:33:26.202487+00:00,2s,1.8,"XAUUSD, EURUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
21,2026-09-17T06:08:05.361366+00:00,2026-09-17T06:08:07.303540+00:00,2s,1.9,"XAUUSD, EURUSD",P1:0.05 | P2:0.02,Web Dashboard,Manual User Stop,COMPLETED
20,2026-09-14T16:37:14.238281+00:00,2026-09-14T16:37:14.707755+00:00,0s,0.5,"XAUUSD, BTCUSD",0.1,Web Dashboard,Manual User Stop,COMPLETED
19,2026-09-12T19:19:45.454176+00:00,2026-09-12T19:19:52.276963+00:00,7s,6.8,XAUUSD,Dynamic,Web Dashboard,Manual User Stop,COMPLETED
