id,timestamp,closed_at,symbol,direction,entry_price,stop_loss,take_profit,lot_size,realized_pnl,status,duration_seconds,strategy_name,magic_number
58532043910,2026-09-18T15:21:29.479431+00:00,,XAUUSD,BUY,4352.52,4347.29,4359.79,0.01,0.0,OPEN,0.0,SMC Scalp (5m),125456
58531488167,2026-09-18T14:54:51.823235+00:00,2026-09-18T14:55:29.497286+00:00,XAUUSD,BUY,4358.62,4358.13,4361.01,0.05,-2.45,CLOSED_SL,37.674051,SMC Swing (15m),124456
58531426462,2026-09-18T14:52:29.480909+00:00,2026-09-18T15:21:29.510827+00:00,XAUUSD,BUY,4361.42,4356.05,4368.55,0.01,-5.37,CLOSED_SL,1740.029918,SMC Scalp (5m),125456
58531118237,2026-09-18T14:39:29.475980+00:00,2026-09-18T14:52:29.493915+00:00,XAUUSD,BUY,4352.18,4346.86,4359.36,0.01,7.18,CLOSED_TP,780.017935,SMC Scalp (5m),125456
58530799617,2026-09-18T14:25:29.490465+00:00,2026-09-18T14:27:29.497864+00:00,XAUUSD,BUY,4352.56,4347.21,4359.71,0.01,-5.35,CLOSED_SL,120.007399,SMC Scalp (5m),125456
58530394728,2026-09-18T14:08:39.889022+00:00,2026-09-18T14:20:29.499028+00:00,XAUUSD,BUY,4352.77,4347.34,4359.84,0.01,-5.43,CLOSED_SL,709.610006,SMC Scalp (5m),125456
58526333778,2026-09-18T11:11:11.312691+00:00,2026-09-18T14:08:39.907866+00:00,XAUUSD,BUY,4388.21,4382.82,4395.32,0.01,-5.39,CLOSED_SL,10648.595175,SMC Scalp (5m),125456
58526056159,2026-09-18T11:00:11.306158+00:00,2026-09-18T14:08:39.903219+00:00,XAUUSD,BUY,4381.64,4376.44,4397.55,0.01,-5.2,CLOSED_SL,11308.597061,SMC Swing (15m),124456
58525692496,2026-09-18T10:36:11.299727+00:00,2026-09-18T10:51:11.367480+00:00,XAUUSD,BUY,4381.66,4376.4,4397.55,0.01,-5.26,CLOSED_SL,900.067753,SMC Swing (15m),124456
58525580696,2026-09-18T10:28:22.469226+00:00,2026-09-18T11:11:11.353359+00:00,XAUUSD,BUY,4380.61,4375.31,4387.81,0.01,7.2,CLOSED_TP,2568.884133,SMC Scalp (5m),125456
58509995648,2026-09-17T13:06:24.318323+00:00,2026-09-18T14:08:39.897662+00:00,EURUSD,SELL,1.149,1.1505,1.14675,0.02,4.48,CLOSED_TP,90135.579339,SMC Scalp (5m),125456
58509970188,2026-09-17T13:05:24.314918+00:00,2026-09-18T11:15:11.351571+00:00,EURUSD,SELL,1.14903,1.15053,1.14678,0.02,3.66,CLOSED_MANUAL,79787.036653,SMC Scalp (5m),125456
